"StudySite","Operation","CommName","Count","RAI"
"I08",14,"Bushbuck",5,0.357142857142857
"I10",14,"Bushbuck",2,0.142857142857143
"I12",14,"Bushbuck",1,0.0714285714285714
"I14",14,"Bushbuck",4,0.285714285714286
"J03",14,"Bushbuck",1,0.0714285714285714
"J05",14,"Bushbuck",6,0.428571428571429
"J07",14,"Bushbuck",11,0.785714285714286
"J09",14,"Bushbuck",5,0.357142857142857
"J11",14,"Bushbuck",0,0
"J13",14,"Bushbuck",12,0.857142857142857
"K04",0,"Bushbuck",0,NA
"K06",14,"Bushbuck",7,0.5
"K08",14,"Bushbuck",2,0.142857142857143
"K10",14,"Bushbuck",0,0
"K12",14,"Bushbuck",1,0.0714285714285714
"L05",14,"Bushbuck",60,4.28571428571429
"L07",14,"Bushbuck",0,0
"L09",14,"Bushbuck",14,1
"L11",14,"Bushbuck",13,0.928571428571429
"L13",14,"Bushbuck",1,0.0714285714285714
"M08",14,"Bushbuck",13,0.928571428571429
"M10",14,"Bushbuck",11,0.785714285714286
"A06",14,"Bushpig",0,0
"A08",14,"Bushpig",0,0
"A10",14,"Bushpig",1,0.0714285714285714
"B05",14,"Bushpig",0,0
"B07",14,"Bushpig",3,0.214285714285714
"B09",14,"Bushpig",0,0
"C06",14,"Bushpig",2,0.142857142857143
"C08",14,"Bushpig",1,0.0714285714285714
"D03",14,"Bushpig",1,0.0714285714285714
"D05",14,"Bushpig",2,0.142857142857143
"D07",0,"Bushpig",1,NA
"D09",0,"Bushpig",0,NA
"E02",14,"Bushpig",0,0
"E04",14,"Bushpig",0,0
"E06",14,"Bushpig",0,0
"E08",14,"Bushpig",0,0
"E10",14,"Bushpig",0,0
"E12",14,"Bushpig",0,0
"F01",14,"Bushpig",0,0
"F03",14,"Bushpig",0,0
"F05",0,"Bushpig",0,NA
"F07",14,"Bushpig",1,0.0714285714285714
"F09",14,"Bushpig",0,0
"F11",14,"Bushpig",0,0
"G02",14,"Bushpig",0,0
"G04",14,"Bushpig",0,0
"G06",14,"Bushpig",4,0.285714285714286
"G08",14,"Bushpig",0,0
"G10",14,"Bushpig",0,0
"G12",14,"Bushpig",0,0
"H03",14,"Bushpig",0,0
"H05",14,"Bushpig",2,0.142857142857143
"H07",14,"Bushpig",1,0.0714285714285714
"H09",14,"Bushpig",1,0.0714285714285714
"H11",14,"Bushpig",0,0
"H13",14,"Bushpig",0,0
"I04",14,"Bushpig",1,0.0714285714285714
"I06",14,"Bushpig",0,0
"I08",14,"Bushpig",1,0.0714285714285714
"I10",14,"Bushpig",0,0
"I12",14,"Bushpig",0,0
"I14",14,"Bushpig",0,0
"J03",14,"Bushpig",0,0
"J05",14,"Bushpig",1,0.0714285714285714
"J07",14,"Bushpig",1,0.0714285714285714
"J09",14,"Bushpig",0,0
"J11",14,"Bushpig",0,0
"J13",14,"Bushpig",0,0
"K04",0,"Bushpig",0,NA
"K06",14,"Bushpig",0,0
"K08",14,"Bushpig",0,0
"K10",14,"Bushpig",0,0
"K12",14,"Bushpig",0,0
"L05",14,"Bushpig",0,0
"L07",14,"Bushpig",0,0
"L09",14,"Bushpig",2,0.142857142857143
"L11",14,"Bushpig",1,0.0714285714285714
"L13",14,"Bushpig",1,0.0714285714285714
"M08",14,"Bushpig",1,0.0714285714285714
"M10",14,"Bushpig",0,0
"A06",14,"Duiker_common",0,0
"A08",14,"Duiker_common",0,0
"A10",14,"Duiker_common",0,0
"B05",14,"Duiker_common",0,0
"B07",14,"Duiker_common",3,0.214285714285714
"B09",14,"Duiker_common",0,0
"C06",14,"Duiker_common",0,0
"C08",14,"Duiker_common",1,0.0714285714285714
"D03",14,"Duiker_common",0,0
"D05",14,"Duiker_common",0,0
"D07",0,"Duiker_common",0,NA
"D09",0,"Duiker_common",0,NA
"E02",14,"Duiker_common",0,0
"E04",14,"Duiker_common",0,0
"E06",14,"Duiker_common",2,0.142857142857143
"E08",14,"Duiker_common",0,0
"E10",14,"Duiker_common",0,0
"E12",14,"Duiker_common",0,0
"F01",14,"Duiker_common",0,0
"F03",14,"Duiker_common",0,0
"F05",0,"Duiker_common",0,NA
"F07",14,"Duiker_common",0,0
"F09",14,"Duiker_common",0,0
"F11",14,"Duiker_common",0,0
"G02",14,"Duiker_common",0,0
"G04",14,"Duiker_common",0,0
"G06",14,"Duiker_common",0,0
"G08",14,"Duiker_common",0,0
"G10",14,"Duiker_common",0,0
"G12",14,"Duiker_common",0,0
"H03",14,"Duiker_common",0,0
"H05",14,"Duiker_common",0,0
"H07",14,"Duiker_common",0,0
"H09",14,"Duiker_common",0,0
"H11",14,"Duiker_common",0,0
"H13",14,"Duiker_common",0,0
"I04",14,"Duiker_common",0,0
"I06",14,"Duiker_common",0,0
"I08",14,"Duiker_common",0,0
"I10",14,"Duiker_common",0,0
"I12",14,"Duiker_common",0,0
"I14",14,"Duiker_common",0,0
"J03",14,"Duiker_common",0,0
"J05",14,"Duiker_common",0,0
"J07",14,"Duiker_common",0,0
"J09",14,"Duiker_common",0,0
"J11",14,"Duiker_common",0,0
"J13",14,"Duiker_common",0,0
"K04",0,"Duiker_common",0,NA
"K06",14,"Duiker_common",0,0
"K08",14,"Duiker_common",0,0
"K10",14,"Duiker_common",0,0
"K12",14,"Duiker_common",0,0
"L05",14,"Duiker_common",0,0
"L07",14,"Duiker_common",0,0
"L09",14,"Duiker_common",0,0
"L11",14,"Duiker_common",0,0
"L13",14,"Duiker_common",0,0
"M08",14,"Duiker_common",0,0
"M10",14,"Duiker_common",0,0
"A06",14,"Duiker_red",0,0
"A08",14,"Duiker_red",0,0
"A10",14,"Duiker_red",0,0
"B05",14,"Duiker_red",0,0
"B07",14,"Duiker_red",0,0
"B09",14,"Duiker_red",0,0
"C06",14,"Duiker_red",0,0
"C08",14,"Duiker_red",0,0
"D03",14,"Duiker_red",0,0
"D05",14,"Duiker_red",0,0
"D07",0,"Duiker_red",0,NA
"D09",0,"Duiker_red",0,NA
"E02",14,"Duiker_red",0,0
"E04",14,"Duiker_red",0,0
"E06",14,"Duiker_red",0,0
"E08",14,"Duiker_red",0,0
"E10",14,"Duiker_red",0,0
"E12",14,"Duiker_red",0,0
"F01",14,"Duiker_red",0,0
"F03",14,"Duiker_red",0,0
"F05",0,"Duiker_red",0,NA
"F07",14,"Duiker_red",0,0
"F09",14,"Duiker_red",0,0
"F11",14,"Duiker_red",0,0
"G02",14,"Duiker_red",0,0
"G04",14,"Duiker_red",0,0
"G06",14,"Duiker_red",0,0
"G08",14,"Duiker_red",0,0
"G10",14,"Duiker_red",2,0.142857142857143
"G12",14,"Duiker_red",0,0
"H03",14,"Duiker_red",0,0
"H05",14,"Duiker_red",0,0
"H07",14,"Duiker_red",0,0
"H09",14,"Duiker_red",0,0
"H11",14,"Duiker_red",0,0
"H13",14,"Duiker_red",1,0.0714285714285714
"I04",14,"Duiker_red",0,0
"I06",14,"Duiker_red",0,0
"I08",14,"Duiker_red",0,0
"I10",14,"Duiker_red",0,0
"I12",14,"Duiker_red",0,0
"I14",14,"Duiker_red",0,0
"J03",14,"Duiker_red",0,0
"J05",14,"Duiker_red",0,0
"J07",14,"Duiker_red",0,0
"J09",14,"Duiker_red",0,0
"J11",14,"Duiker_red",0,0
"J13",14,"Duiker_red",0,0
"K04",0,"Duiker_red",0,NA
"K06",14,"Duiker_red",0,0
"K08",14,"Duiker_red",0,0
"K10",14,"Duiker_red",0,0
"K12",14,"Duiker_red",0,0
"L05",14,"Duiker_red",0,0
"L07",14,"Duiker_red",0,0
"L09",14,"Duiker_red",0,0
"L11",14,"Duiker_red",0,0
"L13",14,"Duiker_red",0,0
"M08",14,"Duiker_red",0,0
"M10",14,"Duiker_red",0,0
"A06",14,"Elephant",0,0
"A08",14,"Elephant",1,0.0714285714285714
"A10",14,"Elephant",2,0.142857142857143
"B05",14,"Elephant",0,0
"B07",14,"Elephant",0,0
"B09",14,"Elephant",0,0
"C06",14,"Elephant",0,0
"C08",14,"Elephant",0,0
"D03",14,"Elephant",0,0
"D05",14,"Elephant",0,0
"D07",0,"Elephant",0,NA
"D09",0,"Elephant",0,NA
"E02",14,"Elephant",0,0
"E04",14,"Elephant",0,0
"E06",14,"Elephant",0,0
"E08",14,"Elephant",0,0
"E10",14,"Elephant",2,0.142857142857143
"E12",14,"Elephant",1,0.0714285714285714
"F01",14,"Elephant",0,0
"F03",14,"Elephant",0,0
"F05",0,"Elephant",0,NA
"F07",14,"Elephant",2,0.142857142857143
"F09",14,"Elephant",0,0
"F11",14,"Elephant",4,0.285714285714286
"G02",14,"Elephant",0,0
"G04",14,"Elephant",0,0
"G06",14,"Elephant",0,0
"G08",14,"Elephant",0,0
"G10",14,"Elephant",0,0
"G12",14,"Elephant",0,0
"H03",14,"Elephant",0,0
"H05",14,"Elephant",2,0.142857142857143
"H07",14,"Elephant",0,0
"H09",14,"Elephant",0,0
"H11",14,"Elephant",0,0
"H13",14,"Elephant",0,0
"I04",14,"Elephant",1,0.0714285714285714
"I06",14,"Elephant",0,0
"I08",14,"Elephant",0,0
"I10",14,"Elephant",0,0
"I12",14,"Elephant",0,0
"I14",14,"Elephant",0,0
"J03",14,"Elephant",3,0.214285714285714
"J05",14,"Elephant",0,0
"J07",14,"Elephant",0,0
"J09",14,"Elephant",0,0
"J11",14,"Elephant",0,0
"J13",14,"Elephant",0,0
"K04",0,"Elephant",0,NA
"K06",14,"Elephant",3,0.214285714285714
"K08",14,"Elephant",2,0.142857142857143
"K10",14,"Elephant",0,0
"K12",14,"Elephant",0,0
"L05",14,"Elephant",2,0.142857142857143
"L07",14,"Elephant",0,0
"L09",14,"Elephant",1,0.0714285714285714
"L11",14,"Elephant",1,0.0714285714285714
"L13",14,"Elephant",0,0
"M08",14,"Elephant",1,0.0714285714285714
"M10",14,"Elephant",3,0.214285714285714
"A06",14,"Hartebeest",0,0
"A08",14,"Hartebeest",0,0
"A10",14,"Hartebeest",0,0
"B05",14,"Hartebeest",8,0.571428571428571
"B07",14,"Hartebeest",0,0
"B09",14,"Hartebeest",1,0.0714285714285714
"C06",14,"Hartebeest",0,0
"C08",14,"Hartebeest",1,0.0714285714285714
"D03",14,"Hartebeest",0,0
"D05",14,"Hartebeest",0,0
"D07",0,"Hartebeest",0,NA
"D09",0,"Hartebeest",0,NA
"E02",14,"Hartebeest",0,0
"E04",14,"Hartebeest",0,0
"E06",14,"Hartebeest",0,0
"E08",14,"Hartebeest",0,0
"E10",14,"Hartebeest",0,0
"E12",14,"Hartebeest",0,0
"F01",14,"Hartebeest",0,0
"F03",14,"Hartebeest",0,0
"F05",0,"Hartebeest",0,NA
"F07",14,"Hartebeest",0,0
"F09",14,"Hartebeest",0,0
"F11",14,"Hartebeest",0,0
"G02",14,"Hartebeest",0,0
"G04",14,"Hartebeest",0,0
"G06",14,"Hartebeest",0,0
"G08",14,"Hartebeest",0,0
"G10",14,"Hartebeest",0,0
"G12",14,"Hartebeest",0,0
"H03",14,"Hartebeest",0,0
"H05",14,"Hartebeest",0,0
"H07",14,"Hartebeest",0,0
"H09",14,"Hartebeest",0,0
"H11",14,"Hartebeest",0,0
"H13",14,"Hartebeest",0,0
"I04",14,"Hartebeest",0,0
"I06",14,"Hartebeest",0,0
"I08",14,"Hartebeest",0,0
"I10",14,"Hartebeest",0,0
"I12",14,"Hartebeest",0,0
"I14",14,"Hartebeest",0,0
"J03",14,"Hartebeest",0,0
"J05",14,"Hartebeest",0,0
"J07",14,"Hartebeest",0,0
"J09",14,"Hartebeest",0,0
"J11",14,"Hartebeest",0,0
"J13",14,"Hartebeest",0,0
"K04",0,"Hartebeest",0,NA
"K06",14,"Hartebeest",0,0
"K08",14,"Hartebeest",0,0
"K10",14,"Hartebeest",0,0
"K12",14,"Hartebeest",0,0
"L05",14,"Hartebeest",0,0
"L07",14,"Hartebeest",0,0
"L09",14,"Hartebeest",0,0
"L11",14,"Hartebeest",0,0
"L13",14,"Hartebeest",0,0
"M08",14,"Hartebeest",0,0
"M10",14,"Hartebeest",0,0
"A06",14,"Impala",12,0.857142857142857
"A08",14,"Impala",0,0
"A10",14,"Impala",0,0
"B05",14,"Impala",7,0.5
"B07",14,"Impala",8,0.571428571428571
"B09",14,"Impala",1,0.0714285714285714
"C06",14,"Impala",1,0.0714285714285714
"C08",14,"Impala",0,0
"D03",14,"Impala",3,0.214285714285714
"D05",14,"Impala",5,0.357142857142857
"D07",0,"Impala",1,NA
"D09",0,"Impala",0,NA
"E02",14,"Impala",44,3.14285714285714
"E04",14,"Impala",4,0.285714285714286
"E06",14,"Impala",5,0.357142857142857
"E08",14,"Impala",2,0.142857142857143
"E10",14,"Impala",1,0.0714285714285714
"E12",14,"Impala",0,0
"F01",14,"Impala",14,1
"F03",14,"Impala",8,0.571428571428571
"F05",0,"Impala",0,NA
"F07",14,"Impala",7,0.5
"F09",14,"Impala",0,0
"F11",14,"Impala",0,0
"G02",14,"Impala",14,1
"G04",14,"Impala",3,0.214285714285714
"G06",14,"Impala",0,0
"G08",14,"Impala",0,0
"G10",14,"Impala",0,0
"G12",14,"Impala",2,0.142857142857143
"H03",14,"Impala",4,0.285714285714286
"H05",14,"Impala",35,2.5
"H07",14,"Impala",2,0.142857142857143
"H09",14,"Impala",0,0
"H11",14,"Impala",0,0
"H13",14,"Impala",0,0
"I04",14,"Impala",4,0.285714285714286
"I06",14,"Impala",4,0.285714285714286
"I08",14,"Impala",1,0.0714285714285714
"I10",14,"Impala",0,0
"I12",14,"Impala",0,0
"I14",14,"Impala",0,0
"J03",14,"Impala",3,0.214285714285714
"J05",14,"Impala",0,0
"J07",14,"Impala",0,0
"J09",14,"Impala",0,0
"J11",14,"Impala",0,0
"J13",14,"Impala",1,0.0714285714285714
"K04",0,"Impala",0,NA
"K06",14,"Impala",0,0
"K08",14,"Impala",0,0
"K10",14,"Impala",0,0
"K12",14,"Impala",0,0
"L05",14,"Impala",2,0.142857142857143
"L07",14,"Impala",0,0
"L09",14,"Impala",0,0
"L11",14,"Impala",1,0.0714285714285714
"L13",14,"Impala",0,0
"M08",14,"Impala",3,0.214285714285714
"M10",14,"Impala",0,0
"A06",14,"Kudu",1,0.0714285714285714
"A08",14,"Kudu",1,0.0714285714285714
"A10",14,"Kudu",0,0
"B05",14,"Kudu",3,0.214285714285714
"B07",14,"Kudu",2,0.142857142857143
"B09",14,"Kudu",0,0
"C06",14,"Kudu",1,0.0714285714285714
"C08",14,"Kudu",0,0
"D03",14,"Kudu",0,0
"D05",14,"Kudu",2,0.142857142857143
"D07",0,"Kudu",1,NA
"D09",0,"Kudu",0,NA
"E02",14,"Kudu",1,0.0714285714285714
"E04",14,"Kudu",0,0
"E06",14,"Kudu",7,0.5
"E08",14,"Kudu",1,0.0714285714285714
"E10",14,"Kudu",0,0
"E12",14,"Kudu",0,0
"F01",14,"Kudu",0,0
"F03",14,"Kudu",0,0
"F05",0,"Kudu",0,NA
"F07",14,"Kudu",2,0.142857142857143
"F09",14,"Kudu",0,0
"F11",14,"Kudu",1,0.0714285714285714
"G02",14,"Kudu",0,0
"G04",14,"Kudu",0,0
"G06",14,"Kudu",1,0.0714285714285714
"G08",14,"Kudu",1,0.0714285714285714
"G10",14,"Kudu",1,0.0714285714285714
"G12",14,"Kudu",0,0
"H03",14,"Kudu",0,0
"H05",14,"Kudu",1,0.0714285714285714
"H07",14,"Kudu",0,0
"H09",14,"Kudu",0,0
"H11",14,"Kudu",0,0
"H13",14,"Kudu",0,0
"I04",14,"Kudu",0,0
"I06",14,"Kudu",0,0
"I08",14,"Kudu",1,0.0714285714285714
"I10",14,"Kudu",0,0
"I12",14,"Kudu",0,0
"I14",14,"Kudu",0,0
"J03",14,"Kudu",0,0
"J05",14,"Kudu",0,0
"J07",14,"Kudu",0,0
"J09",14,"Kudu",0,0
"J11",14,"Kudu",0,0
"J13",14,"Kudu",1,0.0714285714285714
"K04",0,"Kudu",0,NA
"K06",14,"Kudu",1,0.0714285714285714
"K08",14,"Kudu",0,0
"K10",14,"Kudu",0,0
"K12",14,"Kudu",0,0
"L05",14,"Kudu",0,0
"L07",14,"Kudu",0,0
"L09",14,"Kudu",0,0
"L11",14,"Kudu",1,0.0714285714285714
"L13",14,"Kudu",0,0
"M08",14,"Kudu",0,0
"M10",14,"Kudu",0,0
"A06",14,"Nyala",0,0
"A08",14,"Nyala",0,0
"A10",14,"Nyala",4,0.285714285714286
"B05",14,"Nyala",0,0
"B07",14,"Nyala",0,0
"B09",14,"Nyala",0,0
"C06",14,"Nyala",2,0.142857142857143
"C08",14,"Nyala",5,0.357142857142857
"D03",14,"Nyala",1,0.0714285714285714
"D05",14,"Nyala",5,0.357142857142857
"D07",0,"Nyala",0,NA
"D09",0,"Nyala",0,NA
"E02",14,"Nyala",0,0
"E04",14,"Nyala",0,0
"E06",14,"Nyala",17,1.21428571428571
"E08",14,"Nyala",0,0
"E10",14,"Nyala",0,0
"E12",14,"Nyala",0,0
"F01",14,"Nyala",0,0
"F03",14,"Nyala",0,0
"F05",0,"Nyala",0,NA
"F07",14,"Nyala",2,0.142857142857143
"F09",14,"Nyala",0,0
"F11",14,"Nyala",0,0
"G02",14,"Nyala",0,0
"G04",14,"Nyala",0,0
"G06",14,"Nyala",0,0
"G08",14,"Nyala",0,0
"G10",14,"Nyala",3,0.214285714285714
"G12",14,"Nyala",0,0
"H03",14,"Nyala",0,0
"H05",14,"Nyala",0,0
"H07",14,"Nyala",3,0.214285714285714
"H09",14,"Nyala",0,0
"H11",14,"Nyala",0,0
"H13",14,"Nyala",0,0
"I04",14,"Nyala",0,0
"I06",14,"Nyala",0,0
"I08",14,"Nyala",1,0.0714285714285714
"I10",14,"Nyala",1,0.0714285714285714
"I12",14,"Nyala",0,0
"I14",14,"Nyala",0,0
"J03",14,"Nyala",0,0
"J05",14,"Nyala",0,0
"J07",14,"Nyala",0,0
"J09",14,"Nyala",0,0
"J11",14,"Nyala",2,0.142857142857143
"J13",14,"Nyala",1,0.0714285714285714
"K04",0,"Nyala",0,NA
"K06",14,"Nyala",0,0
"K08",14,"Nyala",0,0
"K10",14,"Nyala",0,0
"K12",14,"Nyala",0,0
"L05",14,"Nyala",0,0
"L07",14,"Nyala",0,0
"L09",14,"Nyala",1,0.0714285714285714
"L11",14,"Nyala",8,0.571428571428571
"L13",14,"Nyala",2,0.142857142857143
"M08",14,"Nyala",0,0
"M10",14,"Nyala",0,0
"A06",14,"Oribi",3,0.214285714285714
"A08",14,"Oribi",0,0
"A10",14,"Oribi",0,0
"B05",14,"Oribi",2,0.142857142857143
"B07",14,"Oribi",6,0.428571428571429
"B09",14,"Oribi",1,0.0714285714285714
"C06",14,"Oribi",10,0.714285714285714
"C08",14,"Oribi",1,0.0714285714285714
"D03",14,"Oribi",2,0.142857142857143
