"StudySite","Operation","CommName","Count","RAI"
"A06",42,"Baboon",15,0.357142857142857
"A08",42,"Baboon",23,0.547619047619048
"A10",42,"Baboon",42,1
"B05",42,"Baboon",4,0.0952380952380952
"B07",42,"Baboon",10,0.238095238095238
"B09",42,"Baboon",11,0.261904761904762
"C06",42,"Baboon",21,0.5
"C08",42,"Baboon",16,0.380952380952381
"D03",42,"Baboon",34,0.80952380952381
"D05",42,"Baboon",24,0.571428571428571
"D07",17,"Baboon",6,0.352941176470588
"D09",0,"Baboon",0,NA
"E02",42,"Baboon",32,0.761904761904762
"E04",42,"Baboon",21,0.5
"E06",42,"Baboon",22,0.523809523809524
"E08",42,"Baboon",6,0.142857142857143
"E10",42,"Baboon",5,0.119047619047619
"E12",42,"Baboon",7,0.166666666666667
"F01",42,"Baboon",28,0.666666666666667
"F03",42,"Baboon",10,0.238095238095238
"F05",0,"Baboon",4,NA
"F07",42,"Baboon",46,1.0952380952381
"F09",42,"Baboon",0,0
"F11",42,"Baboon",37,0.880952380952381
"G02",32,"Baboon",35,1.09375
"G04",42,"Baboon",25,0.595238095238095
"G06",42,"Baboon",38,0.904761904761905
"G08",42,"Baboon",29,0.69047619047619
"G10",42,"Baboon",14,0.333333333333333
"G12",42,"Baboon",25,0.595238095238095
"H03",42,"Baboon",29,0.69047619047619
"H05",42,"Baboon",87,2.07142857142857
"H07",42,"Baboon",19,0.452380952380952
"H09",42,"Baboon",21,0.5
"H11",42,"Baboon",88,2.0952380952381
"H13",42,"Baboon",20,0.476190476190476
"I04",42,"Baboon",22,0.523809523809524
"I06",42,"Baboon",8,0.19047619047619
"I08",42,"Baboon",28,0.666666666666667
"I10",42,"Baboon",21,0.5
"I12",42,"Baboon",39,0.928571428571429
"I14",42,"Baboon",7,0.166666666666667
"J03",42,"Baboon",15,0.357142857142857
"J05",42,"Baboon",28,0.666666666666667
"J07",42,"Baboon",20,0.476190476190476
"J09",42,"Baboon",5,0.119047619047619
"J11",42,"Baboon",6,0.142857142857143
"J13",42,"Baboon",42,1
"K04",0,"Baboon",2,NA
"K06",42,"Baboon",106,2.52380952380952
"K08",42,"Baboon",7,0.166666666666667
"K10",42,"Baboon",0,0
"K12",42,"Baboon",13,0.30952380952381
"L05",42,"Baboon",25,0.595238095238095
"L07",42,"Baboon",3,0.0714285714285714
"L09",40,"Baboon",48,1.2
"L11",42,"Baboon",54,1.28571428571429
"L13",42,"Baboon",11,0.261904761904762
"M08",42,"Baboon",76,1.80952380952381
"M10",42,"Baboon",37,0.880952380952381
"A06",42,"Buffalo",0,0
"A08",42,"Buffalo",0,0
"A10",42,"Buffalo",0,0
"B05",42,"Buffalo",1,0.0238095238095238
"B07",42,"Buffalo",0,0
"B09",42,"Buffalo",0,0
"C06",42,"Buffalo",0,0
"C08",42,"Buffalo",0,0
"D03",42,"Buffalo",0,0
"D05",42,"Buffalo",0,0
"D07",17,"Buffalo",0,0
"D09",0,"Buffalo",0,NA
"E02",42,"Buffalo",0,0
"E04",42,"Buffalo",0,0
"E06",42,"Buffalo",0,0
"E08",42,"Buffalo",0,0
"E10",42,"Buffalo",0,0
"E12",42,"Buffalo",0,0
"F01",42,"Buffalo",0,0
"F03",42,"Buffalo",0,0
"F05",0,"Buffalo",0,NA
"F07",42,"Buffalo",0,0
"F09",42,"Buffalo",0,0
"F11",42,"Buffalo",0,0
"G02",32,"Buffalo",0,0
"G04",42,"Buffalo",0,0
"G06",42,"Buffalo",0,0
"G08",42,"Buffalo",0,0
"G10",42,"Buffalo",0,0
"G12",42,"Buffalo",0,0
"H03",42,"Buffalo",0,0
"H05",42,"Buffalo",0,0
"H07",42,"Buffalo",0,0
"H09",42,"Buffalo",0,0
"H11",42,"Buffalo",0,0
"H13",42,"Buffalo",0,0
"I04",42,"Buffalo",0,0
"I06",42,"Buffalo",0,0
"I08",42,"Buffalo",0,0
"I10",42,"Buffalo",0,0
"I12",42,"Buffalo",0,0
"I14",42,"Buffalo",0,0
"J03",42,"Buffalo",0,0
"J05",42,"Buffalo",0,0
"J07",42,"Buffalo",6,0.142857142857143
"J09",42,"Buffalo",0,0
"J11",42,"Buffalo",0,0
"J13",42,"Buffalo",0,0
"K04",0,"Buffalo",0,NA
"K06",42,"Buffalo",0,0
"K08",42,"Buffalo",0,0
"K10",42,"Buffalo",0,0
"K12",42,"Buffalo",0,0
"L05",42,"Buffalo",2,0.0476190476190476
"L07",42,"Buffalo",0,0
"L09",40,"Buffalo",0,0
"L11",42,"Buffalo",0,0
"L13",42,"Buffalo",0,0
"M08",42,"Buffalo",0,0
"M10",42,"Buffalo",9,0.214285714285714
"A06",42,"Bushbuck",2,0.0476190476190476
"A08",42,"Bushbuck",9,0.214285714285714
"A10",42,"Bushbuck",14,0.333333333333333
"B05",42,"Bushbuck",0,0
"B07",42,"Bushbuck",12,0.285714285714286
"B09",42,"Bushbuck",1,0.0238095238095238
"C06",42,"Bushbuck",17,0.404761904761905
