"StudySite","Operation","CommName","Count","RAI"
"A06",70,"Baboon",22,0.314285714285714
"A08",70,"Baboon",44,0.628571428571429
"A10",70,"Baboon",77,1.1
"B05",70,"Baboon",10,0.142857142857143
"B07",70,"Baboon",15,0.214285714285714
"B09",70,"Baboon",22,0.314285714285714
"C06",70,"Baboon",44,0.628571428571429
"C08",70,"Baboon",46,0.657142857142857
"D03",70,"Baboon",35,0.5
"D05",70,"Baboon",47,0.671428571428571
"D07",32,"Baboon",13,0.40625
"D09",15,"Baboon",2,0.133333333333333
"E02",70,"Baboon",49,0.7
"E04",70,"Baboon",49,0.7
"E06",70,"Baboon",46,0.657142857142857
"E08",70,"Baboon",8,0.114285714285714
"E10",70,"Baboon",13,0.185714285714286
"E12",70,"Baboon",11,0.157142857142857
"F01",70,"Baboon",36,0.514285714285714
"F03",70,"Baboon",16,0.228571428571429
"F05",23,"Baboon",9,0.391304347826087
"F07",70,"Baboon",77,1.1
"F09",70,"Baboon",1,0.0142857142857143
"F11",70,"Baboon",53,0.757142857142857
"G02",46,"Baboon",49,1.06521739130435
"G04",70,"Baboon",53,0.757142857142857
"G06",70,"Baboon",71,1.01428571428571
"G08",70,"Baboon",41,0.585714285714286
"G10",70,"Baboon",19,0.271428571428571
"G12",70,"Baboon",45,0.642857142857143
"H03",70,"Baboon",37,0.528571428571429
"H05",70,"Baboon",132,1.88571428571429
"H07",70,"Baboon",28,0.4
"H09",70,"Baboon",32,0.457142857142857
"H11",70,"Baboon",114,1.62857142857143
"H13",70,"Baboon",29,0.414285714285714
"I04",70,"Baboon",33,0.471428571428571
"I06",70,"Baboon",14,0.2
"I08",70,"Baboon",51,0.728571428571429
"I10",70,"Baboon",30,0.428571428571429
"I12",70,"Baboon",52,0.742857142857143
"I14",70,"Baboon",19,0.271428571428571
"J03",70,"Baboon",22,0.314285714285714
"J05",70,"Baboon",38,0.542857142857143
"J07",70,"Baboon",23,0.328571428571429
"J09",70,"Baboon",12,0.171428571428571
"J11",69,"Baboon",11,0.159420289855072
"J13",70,"Baboon",79,1.12857142857143
"K04",27,"Baboon",8,0.296296296296296
"K06",70,"Baboon",189,2.7
"K08",70,"Baboon",32,0.457142857142857
"K10",70,"Baboon",4,0.0571428571428571
"K12",70,"Baboon",19,0.271428571428571
"L05",70,"Baboon",35,0.5
"L07",70,"Baboon",47,0.671428571428571
"L09",54,"Baboon",60,1.11111111111111
"L11",70,"Baboon",88,1.25714285714286
"L13",70,"Baboon",11,0.157142857142857
"M08",70,"Baboon",114,1.62857142857143
"M10",70,"Baboon",75,1.07142857142857
"A06",70,"Buffalo",1,0.0142857142857143
"A08",70,"Buffalo",0,0
"A10",70,"Buffalo",0,0
"B05",70,"Buffalo",3,0.0428571428571429
"B07",70,"Buffalo",0,0
"B09",70,"Buffalo",1,0.0142857142857143
"C06",70,"Buffalo",1,0.0142857142857143
"C08",70,"Buffalo",0,0
"D03",70,"Buffalo",0,0
"D05",70,"Buffalo",0,0
"D07",32,"Buffalo",0,0
"D09",15,"Buffalo",0,0
"E02",70,"Buffalo",0,0
"E04",70,"Buffalo",0,0
"E06",70,"Buffalo",0,0
"E08",70,"Buffalo",0,0
"E10",70,"Buffalo",0,0
"E12",70,"Buffalo",0,0
"F01",70,"Buffalo",0,0
"F03",70,"Buffalo",0,0
"F05",23,"Buffalo",0,0
"F07",70,"Buffalo",0,0
"F09",70,"Buffalo",0,0
"F11",70,"Buffalo",0,0
"G02",46,"Buffalo",0,0
"G04",70,"Buffalo",0,0
"G06",70,"Buffalo",0,0
"G08",70,"Buffalo",0,0
"G10",70,"Buffalo",0,0
"G12",70,"Buffalo",0,0
"H03",70,"Buffalo",0,0
"H05",70,"Buffalo",0,0
"H07",70,"Buffalo",0,0
"H09",70,"Buffalo",0,0
"H11",70,"Buffalo",0,0
"H13",70,"Buffalo",0,0
"I04",70,"Buffalo",0,0
"I06",70,"Buffalo",0,0
"I08",70,"Buffalo",0,0
"I10",70,"Buffalo",0,0
"I12",70,"Buffalo",1,0.0142857142857143
"I14",70,"Buffalo",0,0
"J03",70,"Buffalo",0,0
"J05",70,"Buffalo",1,0.0142857142857143
"J07",70,"Buffalo",8,0.114285714285714
"J09",70,"Buffalo",1,0.0142857142857143
"J11",69,"Buffalo",0,0
"J13",70,"Buffalo",0,0
"K04",27,"Buffalo",0,0
"K06",70,"Buffalo",0,0
"K08",70,"Buffalo",2,0.0285714285714286
"K10",70,"Buffalo",0,0
"K12",70,"Buffalo",0,0
"L05",70,"Buffalo",2,0.0285714285714286
"L07",70,"Buffalo",0,0
"L09",54,"Buffalo",0,0
"L11",70,"Buffalo",0,0
"L13",70,"Buffalo",0,0
"M08",70,"Buffalo",0,0
"M10",70,"Buffalo",9,0.128571428571429
"A06",70,"Bushbuck",2,0.0285714285714286
"A08",70,"Bushbuck",14,0.2
"A10",70,"Bushbuck",25,0.357142857142857
"B05",70,"Bushbuck",0,0
"B07",70,"Bushbuck",16,0.228571428571429
"B09",70,"Bushbuck",3,0.0428571428571429
"C06",70,"Bushbuck",31,0.442857142857143
"C08",70,"Bushbuck",17,0.242857142857143
"D03",70,"Bushbuck",74,1.05714285714286
"D05",70,"Bushbuck",32,0.457142857142857
"D07",32,"Bushbuck",55,1.71875
"D09",15,"Bushbuck",2,0.133333333333333
"E02",70,"Bushbuck",53,0.757142857142857
"E04",70,"Bushbuck",20,0.285714285714286
"E06",70,"Bushbuck",37,0.528571428571429
"E08",70,"Bushbuck",5,0.0714285714285714
"E10",70,"Bushbuck",1,0.0142857142857143
"E12",70,"Bushbuck",16,0.228571428571429
"F01",70,"Bushbuck",55,0.785714285714286
